Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 16.12.2011 № 1868 «О создании административной комиссии городского округа Краснотурьинск»,01-01/597 ,2024-08-09,2024-08-09,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5746,№ 01-01-597.pdf
"Об утверждении порядка осмотра объекта индивидуального жилищного строительства или дома блокированной застройки для составления акта освидетельствования проведения основных работ по строительству (реконструкции) объекта индивидуального жилищного строительства либо реконструкции дома блокированной застройки, осуществляемых с привлечением средств материнского (семейного) капитала, на территории городского округа Краснотурьинск",проект,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5744,Постановление Администрации (ненормативное) _б утверждении порядка осмотра...ого ж.docx
"О внесении изменений в комплексную программу «Укрепление общественного здоровья населения городского округа Краснотурьинск до 2027года», утвержденную постановлением Администрации городского округа Краснотурьинск от 29.04.2021 № 353 (нормативный)",проект,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5745,Постановление Администрации (нормативное) _О внесении изменений в комплекс...ение .docx
"Об утверждении плана мероприятий месячника, посвященного празднованию Дня пенсионера в Свердловской области, Дня народов Среднего Урала на территории городского округа Краснотурьинск,                                    в августе-сентябре 2024 года",01-02/244-р ,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5748,№ 01-02-244-р.pdf
Об утверждении порядка установления особого противопожарного режима на территории городского округа Краснотурьинск,01-03/35 ,2024-08-12,2024-08-12,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5749,№ 01-03-35.pdf
"О внесении изменений в положение о единовременном денежном вознаграждении спортсменам городского округа Краснотурьинск, достигшим высоких спортивных результатов, утвержденное постановлением Администрации городского округа Краснотурьинск от 16.07.2024 № 01-01/527",проект,2024-08-13,2024-08-13,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5747,Постановление Администрации (нормативное) _ внесении изменений в Положение...нежном.doc
"О внесении изменений в состав антитеррористической комиссии городского округа Краснотурьинск, расположенного на территории Свердловской области, утвержденный  постановлением Главы городского округа Краснотурьинск от 16.07.2024 № 01-03/30",01-03/36 ,2024-08-13,2024-08-13,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5750,№ 01-03-36.pdf
"О внесении изменений в перечень муниципального имущества городского округа Краснотурьинск, свободного от прав третьих лиц (за исключением права хозяйственного ведения, права оперативного управления, а также имущественных прав субъектов малого и среднего предпринимательства), утвержденный постановлением Администрации городского округа Краснотурьинск от 22.04.2019 № 422",01-01/609 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5751,№ 01-01-609.pdf
О создании муниципального автономного учреждения дополнительного образования «Спортивная школа единоборств»,01-01/610 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5752,№ 01-01-610.pdf
"Об освобождении земельного участка, самовольно занятого  хозяйственными постройками",01-01/611 ,2024-08-14,2024-08-14,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5753,№ 01-01-611.pdf
