Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
Об утверждении положения о персонифицированном дополнительном образовании детей в городском округе Краснотурьинск,632,2019-06-10,2019-06-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1827,№ 632.pdf
Об утверждении реестра остановочных пунктов по муниципальным маршрутам регулярных перевозок пассажиров и багажа автомобильным транспортом на территории городского округа Краснотурьинск,633,2019-06-10,2019-06-10,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1828,№ 633.pdf
"О внесении изменений в единый перечень названий улиц городского округа Краснотурьинск, утвержденный постановлением Главы городского округа Краснотурьинск от 28.03.2007 № 304",проект,2019-06-11,2019-06-11,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1826,Внесение изменений в постановление Главы в части  СНТ 19.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Совершенствование социально-экономической политики на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации                                                                                                                                                  городского округа Краснотурьинск от 19.01.2015 № 63",проект,2019-06-07,2019-06-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1824,Внесение изменений в МП МСП_1800.docx
"О внесении изменений в нормы расходования средств бюджета городского округа Краснотурьинск на организацию и проведение мероприятий в сфере физической культуры, спорта и молодежной политики в городском округе Краснотурьинск, обеспечение участия спортивных сборных команд и делегаций городского округа Краснотурьинск в мероприятиях, утвержденные  постановлением Администрации городского округа Краснотурьинск от 30.03.2018 № 362",проект,2019-06-07,2019-06-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1823,Внесение изм. в нормы.doc
"О внесении изменений в муниципальную программу «Развитие физической культуры, спорта и молодежной политики в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 19.02.2015 № 250",проект,2019-06-07,2019-06-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1825,постан. май 2019.doc
"Об утверждении перечня вопросов, рассматриваемых на заседаниях Коллегии при Главе городского округа, на заседаниях Совета директоров, учреждений и организаций городского округа Краснотурьинск, на аппаратном совещании при Главе городского округа Краснотурьинск, проводимом по средам и пятницам, в третьем квартале 2019 года",174-р,2019-06-05,2019-06-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1822,№ 174-р.pdf
"Об утверждении плана мероприятий по подготовке жилищного фонда, объектов социальной сферы, коммунального и электроэнергетического комплексов городского округа Краснотурьинск к работе в отопительный период 2019-2020 года",614,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1817,№ 614.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие системы образования в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 10.02.2015 № 202/1",проект,2019-06-07,2019-06-07,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1821,Ред. от 27.05.2019.docx
Об утверждении административного регламента предоставления муниципальной услуги «Выдача уведомления о соответствии (несоответствии) указанных в уведомлении о планируемом строительстве объекта индивидуального жилищного строительства или садового дома параметрам и допустимости размещения объекта индивидуального жилищного строительства или садового дома на земельном участке»,615,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1818,№ 615.pdf
О подготовке и праздновании Дня города и Дня молодёжи в городском округе Краснотурьинск,616,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1819,№ 616.pdf
"Об установлении на территории городского округа Краснотурьинск мер по недопущению нахождения детей в местах, нахождение в которых может причинить вред здоровью детей, их физическому, интеллектуальному, психическому, духовному и нравственному развитию, в том числе в ночное время в общественных местах без сопровождения родителей (лиц, их заменяющих) или лиц, осуществляющих мероприятия по образованию, воспитанию, развитию, охране здоровья, социальной защите и социальному обслуживанию детей, содействию их социальной адаптации, социальной реабилитации и подобные мероприятия с участием детей»",613,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1816,№ 613.pdf
"О предоставлении разрешения на отклонение от предельных параметров разрешенного строительства, реконструкции объекта капитального строительства в границах земельного участка с кадастровым номером 66:50:0526003:115",609,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1814,№ 609.pdf
"Об утверждении комиссии по проверке готовности теплоснабжающих, теплосетевых организаций и потребителей тепловой энергии городского округа Краснотурьинск к отопительному периоду 2019 - 2020 года",618,2019-06-05,2019-06-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1820,№ 618.pdf
"Об утверждении порядка расходования средств, предоставленных из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на проведение работ по описанию местоположения границ территориальных зон и населенных пунктов, расположенных на территории Свердловской области, внесение в Единый государственный реестр недвижимости сведений о границах территориальных зон и населенных пунктов, расположенных на территории Свердловской области, выполнение комплексных кадастровых работ в 2019 году",607,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1813,№ 607.pdf
"О внесении изменений в порядок предоставления в 2019 году субсидий из бюджета городского округа Краснотурьинск юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям) – производителям товаров, работ, услуг, в целях финансового обеспечения части затрат, связанных с подготовкой коммунальных сетей к отопительному сезону 2019-2020 годов), утвержденный постановлением Администрации городского округа Краснотурьинск от 15.05.2019 № 493",595,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1812,№ 595.pdf
"Об утверждении порядка расходования средств, предоставляемых из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на обновление материально-технической базы для формирования у обучающихся современных технологических и гуманитарных навыков (за счет средств субсидии, полученной из федерального бюджета, и средств областного бюджета), в 2019 году",584,2019-05-30,2019-05-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1811,№ 584.pdf
Об утверждении порядка установления причин нарушения законодательства о градостроительной деятельности на территории городского округа Краснотурьинск,612,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1810,№ 612.pdf
"О проведении праздничных мероприятий, посвященных 125 - летию поселка Воронцовка городского округа Краснотурьинск",611,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1815,№ 611.pdf
Об утверждении порядка принятия решений о заключении концессионных соглашений на территории городского округа Краснотурьинск,604,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1808,№ 604.pdf
"Об утверждении административного регламента предоставления муниципальной услуги по выдаче разрешения на выполнение авиационных работ, парашютных прыжков, демонстрационных полетов воздушных судов, полетов беспилотных летательных аппаратов, подъемов привязанных аэростатов над населенными пунктами городского округа Краснотурьинск, а также посадку (взлет) на расположенные в границах населенных пунктов городского округа Краснотурьинск площадки, сведения о которых не опубликованы в документах аэронавигационной информации",601,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1806,№ 601.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие жилищно-коммунального хозяйства и повышение энергетической эффективности в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 18.05.2015 № 628",602,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1807,№ 602.pdf
Об утверждении реестра остановочных пунктов по муниципальным маршрутам регулярных перевозок пассажиров и багажа автомобильным транспортом на территории городского округа Краснотурьинск,проект,2019-06-04,2019-06-04,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1809,проект реестр автоб остановок.docx
Об утверждении административного регламента предоставления муниципальной услуги «Выдача уведомления о соответствии (несоответствии) построенного или реконструированного объекта индивидуального жилищного строительства или садового дома требованиям законодательства о градостроительной деятельности»,599,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1804,№ 599.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 02.04.2019 № 335 «Об определении официального сайта для размещения информации, содержащейся в бухгалтерской (финансовой) отчетности муниципальных унитарных предприятий, акционерных обществ, обществ с ограниченной ответственностью, включенных в прогнозный план приватизации муниципального имущества городского округа Краснотурьинск»",600,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1805,№ 600.pdf
"Об утверждении административного регламента предоставления муниципальной услуги «Выдача разрешения на вступление в брак несовершеннолетним лицам, достигшим возраста шестнадцати лет, на территории городского округа Краснотурьинск»",597,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1802,№ 597.pdf
"Об утверждении административного регламента предоставления Администрацией городского округа Краснотурьинск муниципальной услуги «Предоставление архивных справок, архивных копий, архивных выписок, информационных писем, связанных с реализацией законных прав и свобод граждан»",598,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1803,№ 598.pdf
Об утверждении положения о персонифицированном дополнительном образовании детей в городском округе Краснотурьинск,проект,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1799,проект положения Краснотурьиск.doc
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 17.11.2009 № 1299 «О наделении государственными полномочиями Российской Федерации и субъекта Российской Федерации по предоставлению мер социальной поддержки по оплате жилого помещения и коммунальных услуг отдельным категориям граждан»,596,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1801,№ 596.pdf
"Об утверждении административного регламента предоставления Администрацией городского округа Краснотурьинск муниципальной услуги «Организация предоставления оформленных в установленном порядке архивных справок или копий архивных документов, связанных с социальной защитой граждан, предусматривающей их пенсионное обеспечение, а также получение льгот и компенсаций в соответствии с законодательством Российской Федерации»",603,2019-06-03,2019-06-03,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1800,№ 603.pdf
О проведении в городском округе Краснотурьинск межведомственной комплексной профилактической операции «Подросток» в 2019 году,583,2019-05-30,2019-05-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1797,№ 583.pdf
"Об утверждении порядка расходования средств, предоставляемых из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на создание в образовательных организациях условий для получения детьми-инвалидами качественного образования, в 2019 году",584,2019-05-30,2019-05-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1798,№ 584.pdf
Об объявлении открытого конкурса на право получения свидетельства об осуществлении перевозок по одному или нескольким муниципальным маршрутам регулярных перевозок пассажиров и багажа автомобильным транспортом на территории городского округа Краснотурьинск,581,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1796,№ 581.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 24.11.2015 № 1453 «О создании комиссии по профилактике экстремизма в городском округе Краснотурьинск на территории Свердловской области»,579,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1794,№ 579.pdf
"Об утверждении порядка расходования средств, предоставляемых из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на создание в образовательных организациях условий для получения детьми-инвалидами качественного образования, в 2019 году",580,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1795,№ 580.pdf
О внесении изменений в постановление Главы городского округа Краснотурьинск от 29.10.2018 № 58 «Об антитеррористической комиссии в городском округе Краснотурьинск»,25,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1790,№ 25.pdf
О внесении изменений в постановление Администрации городского округа Краснотурьинск от 17.02.2014 № 187 «О создании постоянно действующей межведомственной комиссии для организации и проведения массовых мероприятий на территории городского округа Краснотурьинск»,578,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1793,№ 578.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 18.03.2019 № 249 «О финансовом обеспечении организации отдыха детей в каникулярное время, включая мероприятия по обеспечению безопасности их жизни и здоровья, в санаторно-курортных организациях (санаториях, санаторных оздоровительных лагерях круглогодичного действия), оздоровительных лагерях с дневным пребыванием детей и муниципальном автономном учреждении «Загородный оздоровительный лагерь «Восход» в 2019 году»",577,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1792,№ 577.pdf
О внесении изменений в постановление Главы городского округа Краснотурьинск от 02.11.2017 № 56 « О создании комиссии по подготовке и проведению Всероссийской переписи 2020 года в городском округе Краснотурьинск»,27,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1791,№ 27.pdf
О внесении изменений в постановление Главы городского округа Краснотурьинск от 29.10.2018 № 58 «Об антитеррористической комиссии в городском округе Краснотурьинск»,26,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1789,№ 26.pdf
Об утверждении плана мероприятий («дорожной карты») по повышению эффективности деятельности органов местного самоуправления в городском округе Краснотурьинск на 2019 год,571,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1787,№ 571.pdf
"Об утверждении плана мероприятий («дорожной карты») городского округа Краснотурьинск по внедрению целевой модели «Подключение (технологическое присоединение) к системам теплоснабжения, подключение (технологическое присоединение) к централизованным системам водоснабжения и водоотведения на 2019-2021 годы»",570,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1788,№ 570.pdf
О подготовке и праздновании Дня города и Дня молодёжи в городском округе Краснотурьинск,проект,2019-05-30,2019-05-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1786,Проект День города День Молодёжи 2019.docx
Об утверждении административного регламента предоставления муниципальной услуги «Выдача уведомления о соответствии (несоответствии) указанных в уведомлении о планируемом строительстве объекта индивидуального жилищного строительства или садового дома параметрам и допустимости размещения объекта индивидуального жилищного строительства или садового дома на земельном участке»,проект,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1783,Административный регламент Выдача уведомлений Строительство жилье нов взамен № 1212.docx
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие культуры на территории городского округа Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 30.12.2014 № 1923",проект,2019-05-30,2019-05-30,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1785,Проект постановления мун.программа (Культура).docx
Об отмене распоряжения от 13.03.2019 № 120 «Об утверждении условий приватизации муниципального имущества»,298,2019-05-13,2019-05-13,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1784,Отмена Распоряжения 120 от 13.03.2019.doc
Об утверждении порядка установления причин нарушения законодательства о градостроительной деятельности на территории городского округа Краснотурьинск,проект,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1782,порядок установления причин нарушения закн град деят.docx
"О внесении изменений в порядок предоставления в 2019 году субсидий из бюджета городского округа Краснотурьинск юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям) –  производителям товаров, работ, услуг, в целях финансового обеспечения части затрат, связанных с подготовкой коммунальных сетей к отопительному сезону 2019-2020 годов), утвержденный постановлением Администрации городского округа Краснотурьинск от 15.05.2019 № 493",проект,2019-05-28,2019-05-28,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1779,2. Порядок предоставления субсидии на кап ремонт сетей УКК 2019 Изменения ПРОЕКТ.doc
"Об установлении на территории городского округа Краснотурьинск мер              по недопущению нахождения детей в местах, нахождение в которых может причинить вред здоровью детей, их физическому, интеллектуальному, психическому, духовному и нравственному развитию, в том числе в ночное время в общественных местах без сопровождения родителей (лиц, их заменяющих) или лиц, осуществляющих мероприятия по образованию, воспитанию, развитию, охране здоровья, социальной защите и социальному обслуживанию детей, содействию их социальной адаптации, социальной реабилитации и подобные мероприятия                             с участием детей",проект,2019-05-29,2019-05-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1781,проект на 2019 год.doc
Об утверждении административного регламента предоставления муниципальной услуги «Выдача уведомления о соответствии (несоответствии) построенного или реконструированного объекта индивидуального жилищного строительства или садового дома требованиям законодательства о градостроительной деятельности»,проект,2019-05-28,2019-05-28,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1780,Административный регламент Выдача уведомления построенное жилье нов взамен № 1224.docx
"Об утверждении порядка расходования средств, предоставленных из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на предоставление региональных социальных выплат молодым семьям на улучшение жилищных условий в 2019 году",549,2019-05-27,2019-05-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1778,№ 549.pdf
"Об утверждении порядка предоставления субсидии из бюджета городского округа Краснотурьинск юридическим лицам (за исключением субсидий государственным (муниципальным) учреждениям), индивидуальным предпринимателям, являющимся исполнителями коммунальных услуг, для возмещения затрат, связанных с предоставлением гражданам, проживающим на территории городского округа Краснотурьинск, меры социальной поддержки по частичному освобождению от платы за коммунальные услуги в многоквартирных и жилых домах за 2018 год, за счет субвенций из областного бюджета бюджету городского округа Краснотурьинск в 2019 году",546,2019-05-24,2019-05-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1775,№ 546.pdf
"Об утверждении порядка расходования средств, предоставленных из областного бюджета бюджету городского округа Краснотурьинск в форме субсидий на предоставление социальных выплат молодым семьям на приобретение (строительство) жилья в 2019 году",548,2019-05-27,2019-05-27,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1777,№ 548.pdf
"О внесении изменений в муниципальную программу городского округа Краснотурьинск «Развитие жилищно-коммунального хозяйства и повышение энергетической эффективности в городском округе Краснотурьинск до 2024 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 18.05.2015 № 628",проект,2019-05-28,2019-05-28,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1776,внесение изменений по РД 177.docx
Об утверждении административного регламента предоставления муниципальной услуги «Признание молодых семей участниками мероприятия по обеспечению жильем молодых семей ведомственной целевой программы «Оказание государственной поддержки гражданам в обеспечении жильем и оплате жилищно-коммунальных услуг» государственной программы Российской Федерации «Обеспечение доступным и комфортным жильем и коммунальными услугами граждан Российской Федерации» на территории городского округа Краснотурьинск»,545,2019-05-24,2019-05-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1774,№ 545.pdf
"Об освобождении земельного участка, самовольно занятого хозяйственными постройками, расположенного в 15 метрах по направлению на юг от многоквартирного жилого дома по адресу: Свердловская область, город Краснотурьинск, улица Микова, дом 2",539,2019-05-24,2019-05-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1772,№ 539.pdf
"Об освобождении земельного участка, самовольно занятого хозяйственными постройками, расположенного в 7 метрах по направлению на юго-восток от многоквартирного жилого дома по адресу: Свердловская область, город Краснотурьинск, посёлок Рудничный, улица Больничная, дом 6",538,2019-05-24,2019-05-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1771,№ 538.pdf
"Об освобождении земельного участка, самовольно занятого хозяйственными постройками, расположенного в 15 метрах по направлению на юг от многоквартирного жилого дома по адресу: Свердловская область, город Краснотурьинск, улица Микова, дом 2",539,2019-05-24,2019-05-24,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,1773,№ 539.pdf
О внесении изменений в постановление Главы городского округа Краснотурьинск от 18.05.2015 № 20 «О создании санитарно-противоэпидемической комиссии городского округа Краснотурьинск»,24,2019-05-27,2019-05-27,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,1769,№ 24.pdf
