Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"О внесении изменений в постановление Главы городского округа Краснотурьинск от 16.07.2024 № 01-03/30 «Об антитеррористической комиссии в городском округе Краснотурьинск, расположенном  на территории Свердловской области»",01-03/33 ,2024-08-05,2024-08-05,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5739,№ 01-03-33.pdf
Об утверждении порядка установления особого противопожарного режима на территории городского округа Краснотурьинск,проект,2024-08-05,2024-08-05,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5738,
О проведении традиционного ежегодного конкурса  молодых журналистов «Новая строка-2024»  памяти Ирины Павловны Степаново,01-01/578 ,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5737,№ 01-01-578 Новая строка.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 07.02.2023 № 01-01/107 «Об утверждении мест, на которые запрещается возвращать животных без владельцев, отловленных с территории городского округа Краснотурьинск, и перечня лиц, уполномоченных на принятие решений о возврате животных без владельцев на прежние места обитания»",проект,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5736,Постановление изменения в места на которые запрещается возвращать животных без владельцев в части Саханенко.docx
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 15.06.2023 № 01-01/458 «Об утверждении порядка создания, содержания, охраны и вырубки зеленых насаждений на территории городского округа Краснотурьинск»",проект,2024-08-01,2024-08-01,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5735,"Постановление изменение в порядок создания, содержания, охраны и вырубки зеленых насаждений.docx"
"О внесении изменений в единый перечень названий улиц городского округа Краснотурьинск, утвержденный постановлением Главы городского округа Краснотурьинск от 28.03.2007 № 304",проект,2024-08-01,2024-08-01,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5734,Постановление Главы (нормативное) _О внесении изменений в единый перечень названий улиц городского о.docx
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 09.02.2024 № 01-01/119 «О финансовом обеспечении организации отдыха детей в каникулярное время, включая мероприятия по обеспечению безопасности их жизни и здоровья, в санаторно-курортных организациях (санаториях, санаторных оздоровительных лагерях круглогодичного действия), оздоровительных лагеряхс дневным пребыванием детей, лагере труда и отдыха, загородном оздоровительном лагере в 2024 году»",01-01/568,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5733,№ 01-01-568.pdf
"О внесении изменений в муниципальную программу «Обеспечение рационального, безопасного природопользования и развития лесного хозяйства на территории городского округа Краснотурьинскдо 2027 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 07.06.2023 № 01-01/442",01-01/569,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5732,№ 01-01-569.pdf
"О внесении изменений в муниципальную программу «Профилактика правонарушений, экстремизма и терроризма на территории городского округа Краснотурьинск до 2027 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 08.02.2018 № 133",01-01/570,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5731,№ 01-01-570.pdf
О подготовке и проведении спортивного праздника День физкультурника,01-01/571,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5730,№ 01-01-571.pdf
"Об утверждении порядка поступления ответственному за координацию работы по вопросам профилактики и противодействия коррупции в органах местного самоуправления городского округа Краснотурьинск обращений и заявлений, являющихся основанием для проведения комиссии по соблюдению требований к служебному поведению муниципальных служащих и урегулированию конфликта интересовв городском округе Краснотурьинск",01-03/32,2024-07-31,2024-07-31,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5729,№ 01-03-32.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 02.11.2018 № 1218 «Об определении перечня предприятий и учреждений для организации исполнения уголовных наказаний в виде исправительных и обязательных работ в отношении осужденных, проживающих на территории городского округа Краснотурьинск»",01-01/573,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5728,№ 01-01-573.pdf
"Об утверждении порядка поступления ответственному за координацию работы по вопросам профилактики и противодействия коррупции в органах местного самоуправления городского округа Краснотурьинск обращений и заявлений, являющихся основанием для проведения комиссии по соблюдению требований к служебному поведению муниципальных служащих и урегулированию конфликта интересовв городском округе Краснотурьинск",01-03/32,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5727,№ 01-03-32.pdf
"О разработке плана основных мероприятий городского округа Краснотурьинск в области гражданской обороны, предупреждения и ликвидации чрезвычайных ситуаций, обеспечения пожарной безопасности и безопасности людей на водных объектах на 2025 год",01-01/567,2024-07-29,2024-07-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5726,№ 01-01-567.pdf
Об утверждении актуализированной схемы теплоснабжения муниципального образования «Городской округ Краснотурьинск»с 2021 по 2040 год (актуализация на 2024 год),01-01/552,2024-07-29,2024-07-29,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5725,
"О прекращении действия свидетельства об осуществлении перевозок по маршруту регулярных перевозок и карт соответствующего маршрута, раннее выданных без проведения открытого конкурса, предметом которого является право на получение свидетельства об осуществлении перевозок по соответствующему маршруту",01-01/550,2024-07-26,2024-07-26,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5724,№ 01-01-550.pdf
